,AAPL,AMZN,BAC,BRK-B,CVX,GME,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.44709388971684055,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.0,0.29806259314456035,0.0,0.29806259314456035,0.14903129657228018,0.29806259314456035,0.0,0.14903129657228018,0.14903129657228018,0.0,0.0,0.29806259314456035
AMZN,0.44709388971684055,1.0,0.14903129657228018,0.14903129657228018,0.44709388971684055,0.0,0.29806259314456035,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.29806259314456035,0.0,0.0,0.0,0.29806259314456035
BAC,0.14903129657228018,0.14903129657228018,1.0,0.29806259314456035,0.14903129657228018,0.0,0.29806259314456035,0.29806259314456035,0.29806259314456035,0.14903129657228018,0.0,0.14903129657228018,0.0,0.14903129657228018,0.0,0.0,0.0
BRK-B,0.14903129657228018,0.14903129657228018,0.29806259314456035,1.0,0.29806259314456035,0.44709388971684055,0.44709388971684055,0.44709388971684055,0.44709388971684055,0.29806259314456035,0.0,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.0,0.0,0.14903129657228018
CVX,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.29806259314456035,1.0,0.14903129657228018,0.44709388971684055,0.44709388971684055,0.44709388971684055,0.29806259314456035,0.29806259314456035,0.44709388971684055,0.5961251862891207,0.29806259314456035,0.0,0.0,0.44709388971684055
GME,0.0,0.0,0.0,0.44709388971684055,0.14903129657228018,1.0,0.14903129657228018,0.14903129657228018,0.29806259314456035,0.0,0.0,0.0,0.29806259314456035,0.0,0.0,0.0,0.14903129657228018
GOOGL,0.29806259314456035,0.29806259314456035,0.29806259314456035,0.44709388971684055,0.44709388971684055,0.14903129657228018,1.0,0.14903129657228018,0.44709388971684055,0.44709388971684055,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.0,0.0,0.14903129657228018
JNJ,0.0,0.14903129657228018,0.29806259314456035,0.44709388971684055,0.44709388971684055,0.14903129657228018,0.14903129657228018,1.0,0.14903129657228018,0.29806259314456035,0.14903129657228018,0.44709388971684055,0.44709388971684055,0.14903129657228018,0.0,0.0,0.14903129657228018
JPM,0.29806259314456035,0.14903129657228018,0.29806259314456035,0.44709388971684055,0.44709388971684055,0.29806259314456035,0.44709388971684055,0.14903129657228018,1.0,0.29806259314456035,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.0,0.0,0.29806259314456035
MSFT,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.29806259314456035,0.29806259314456035,0.0,0.44709388971684055,0.29806259314456035,0.29806259314456035,1.0,0.14903129657228018,0.29806259314456035,0.29806259314456035,0.29806259314456035,0.0,0.0,0.14903129657228018
NVDA,0.29806259314456035,0.44709388971684055,0.0,0.0,0.29806259314456035,0.0,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.14903129657228018,1.0,0.14903129657228018,0.29806259314456035,0.14903129657228018,0.0,0.0,0.29806259314456035
PG,0.0,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.44709388971684055,0.0,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.29806259314456035,0.14903129657228018,1.0,0.44709388971684055,0.29806259314456035,0.0,0.0,0.14903129657228018
XOM,0.14903129657228018,0.29806259314456035,0.0,0.14903129657228018,0.5961251862891207,0.29806259314456035,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.29806259314456035,0.29806259314456035,0.44709388971684055,1.0,0.29806259314456035,0.0,0.0,0.44709388971684055
GLD,0.14903129657228018,0.0,0.14903129657228018,0.14903129657228018,0.29806259314456035,0.0,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.29806259314456035,0.14903129657228018,0.29806259314456035,0.29806259314456035,1.0,0.0,0.0,0.14903129657228018
IEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44709388971684055,0.0
SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44709388971684055,1.0,0.0
HYG,0.29806259314456035,0.29806259314456035,0.0,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.14903129657228018,0.14903129657228018,0.29806259314456035,0.14903129657228018,0.29806259314456035,0.14903129657228018,0.44709388971684055,0.14903129657228018,0.0,0.0,1.0
