Date,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,IEF,JNJ,JPM,MSFT,NVDA,PG,SHY,XOM
2006-01-03,2.239734411239624,2.378999948501587,,,27.413320541381836,,53.119998931884766,2.7192909717559814,,,49.72638702392578,34.50450134277344,23.75464630126953,18.71506118774414,0.2920117974281311,,55.63238525390625,29.426692962646484
2006-01-04,2.246326208114624,2.362499952316284,,,27.334440231323242,,53.29999923706055,2.8152363300323486,,,49.81529998779297,35.03636169433594,23.617534637451172,18.80569839477539,0.3001871705055237,,55.687808990478516,29.47702980041504
2006-01-05,2.2286489009857178,2.382499933242798,,,27.000350952148438,,52.34000015258789,3.140103340148926,,,49.82716369628906,34.89080810546875,23.689058303833008,18.81964683532715,0.30698642134666443,,55.639366149902344,29.331058502197266
2006-01-06,2.28617787361145,2.3935000896453857,,,27.492202758789062,,53.720001220703125,3.2419402599334717,,,49.761940002441406,35.04757308959961,23.85597038269043,18.763883590698242,0.3120291531085968,,55.65313720703125,29.90984344482422
2006-01-09,2.2786858081817627,2.3540000915527344,,,27.352996826171875,,54.599998474121094,3.225949287414551,,,49.785667419433594,35.26593017578125,24.243431091308594,18.7289981842041,0.32073894143104553,,55.6601448059082,29.894760131835938
2006-01-10,2.4228079319000244,2.2825000286102295,,,27.4875545501709,,54.060001373291016,3.257089376449585,,,49.584171295166016,35.32749938964844,24.279197692871094,18.826623916625977,0.3208160102367401,,55.60469055175781,30.126251220703125
2006-01-11,2.5138962268829346,2.246500015258789,,,27.76596450805664,,54.529998779296875,3.297487497329712,,,49.4597053527832,34.9915771484375,24.261320114135742,19.028827667236328,0.33242854475975037,,55.60469055175781,30.332595825195312
2006-01-12,2.525581121444702,2.2179999351501465,,,27.789159774780273,,54.43000030517578,3.2436232566833496,,,49.637474060058594,34.829219818115234,23.814239501953125,18.924243927001953,0.32769227027893066,,55.63238525390625,30.015552520751953
2006-01-13,2.5645339488983154,2.2200000286102295,,,28.007246017456055,,55.439998626708984,3.226790428161621,,,49.85677719116211,34.610870361328125,23.796348571777344,18.9591121673584,0.32478857040405273,,55.74324417114258,30.684898376464844
2006-01-17,2.5381667613983154,2.200000047683716,,,28.7032470703125,,55.2599983215332,3.2208995819091797,,,49.916046142578125,34.308528900146484,23.67117691040039,18.81964683532715,0.32455945014953613,,55.722450256347656,30.97176742553711
2006-01-18,2.4716479778289795,2.2160000801086426,,,28.257810592651367,,54.06999969482422,3.2032251358032227,,,49.93377685546875,34.81801986694336,23.414854049682617,18.708084106445312,0.32623985409736633,,55.715511322021484,30.538942337036133
2006-01-19,2.368276357650757,2.2225000858306885,,,28.58260726928711,,55.59000015258789,3.2562482357025146,,,49.809383392333984,34.80681228637695,23.283706665039062,18.840572357177734,0.3443474769592285,,55.722450256347656,30.95162582397461
2006-01-20,2.2798848152160645,2.196000099182129,,,28.359891891479492,,55.20000076293945,3.208275079727173,,,49.89237594604492,34.03981018066406,22.6816463470459,18.415233612060547,0.33472058176994324,,55.74324417114258,30.463436126708984
2006-01-23,2.3272268772125244,2.186500072479248,,,28.865642547607422,,55.77000045776367,3.206592082977295,,,49.88050079345703,34.258155822753906,22.81280517578125,18.373388290405273,0.33663129806518555,,55.75015640258789,30.800643920898438
2006-01-24,2.278386354446411,2.2009999752044678,,,28.791406631469727,,55.72999954223633,3.206592082977295,,,49.7974739074707,33.23360061645508,22.717416763305664,18.3245849609375,0.3383118212223053,,55.73627471923828,30.67986297607422
2006-01-25,2.2232556343078613,2.180000066757202,,,28.424854278564453,,56.13999938964844,3.22426700592041,,,49.489315032958984,32.75212478637695,22.937976837158203,18.40825843811035,0.3353322148323059,,55.6601448059082,30.30239486694336
2006-01-26,2.167224645614624,2.2339999675750732,,,27.942283630371094,,55.880001068115234,3.258772134780884,,,49.382652282714844,32.83051300048828,23.599641799926758,18.47798728942871,0.34679263830184937,,55.666988372802734,30.171545028686523
2006-01-27,2.158236265182495,2.260999917984009,,,28.016525268554688,,55.630001068115234,3.2941205501556396,,,49.41814041137695,32.86967086791992,23.69502830505371,19.37747573852539,0.35336363315582275,,55.6254997253418,30.8459415435791
2006-01-30,2.247225522994995,2.247999906539917,,,28.188203811645508,,56.68000030517578,3.328627109527588,,,49.311527252197266,32.696136474609375,23.754634857177734,19.523897171020508,0.3493899703025818,,55.65313720703125,31.761919021606445
2006-01-31,2.2625069618225098,2.240999937057495,,,27.55252456665039,,56.70000076293945,3.392591953277588,,,49.382652282714844,32.21464920043945,23.69502830505371,19.628490447998047,0.3435075879096985,,55.65313720703125,31.580720901489258
2006-02-01,2.2598094940185547,2.1989998817443848,,,27.23700523376465,,56.70000076293945,3.550816059112549,,,49.23044967651367,32.3938102722168,23.77251434326172,19.55179786682129,0.3437369167804718,,55.602447509765625,31.178104400634766
2006-02-02,2.160332441329956,2.13700008392334,,,27.148828506469727,,56.97999954223633,3.5398752689361572,,,49.23044967651367,32.2762336730957,23.838090896606445,19.300779342651367,0.3332693874835968,,55.602447509765625,31.178104400634766
2006-02-03,2.152841329574585,1.9164999723434448,,,26.68018913269043,,56.5,3.582798719406128,,,49.37903594970703,32.125064849853516,23.563880920410156,19.203161239624023,0.33632516860961914,,55.6302604675293,30.896263122558594
2006-02-06,2.0165092945098877,1.8975000381469727,,,27.301958084106445,,56.720001220703125,3.6274044513702393,,,49.30768966674805,31.828344345092773,23.510229110717773,18.94516372680664,0.34579968452453613,,55.602447509765625,31.188169479370117
