,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.28653295128939826,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.4297994269340974,0.28653295128939826,0.14326647564469913,0.0,0.0,0.0,0.14326647564469913
AMZN,0.14326647564469913,1.0,0.0,0.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.0,0.14326647564469913,0.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.0,0.0
BAC,0.14326647564469913,0.0,1.0,0.14326647564469913,0.14326647564469913,0.0,0.14326647564469913,0.28653295128939826,0.4297994269340974,0.28653295128939826,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.0,0.28653295128939826
BRK-B,0.14326647564469913,0.0,0.14326647564469913,1.0,0.4297994269340974,0.0,0.28653295128939826,0.5730659025787965,0.5730659025787965,0.28653295128939826,0.0,0.28653295128939826,0.4297994269340974,0.14326647564469913,0.0,0.0,0.4297994269340974
CVX,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.4297994269340974,1.0,0.14326647564469913,0.4297994269340974,0.4297994269340974,0.4297994269340974,0.14326647564469913,0.0,0.28653295128939826,0.5730659025787965,0.28653295128939826,0.0,0.0,0.14326647564469913
ENPH,0.0,0.14326647564469913,0.0,0.0,0.14326647564469913,1.0,0.14326647564469913,0.0,0.0,0.0,0.0,0.0,0.0,0.28653295128939826,0.0,0.0,0.0
GOOGL,0.28653295128939826,0.14326647564469913,0.14326647564469913,0.28653295128939826,0.4297994269340974,0.14326647564469913,1.0,0.28653295128939826,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.28653295128939826,0.28653295128939826,0.28653295128939826,0.0,0.0,0.14326647564469913
JNJ,0.28653295128939826,0.0,0.28653295128939826,0.5730659025787965,0.4297994269340974,0.0,0.28653295128939826,1.0,0.4297994269340974,0.28653295128939826,0.14326647564469913,0.28653295128939826,0.4297994269340974,0.14326647564469913,0.0,0.0,0.28653295128939826
JPM,0.28653295128939826,0.0,0.4297994269340974,0.5730659025787965,0.4297994269340974,0.0,0.28653295128939826,0.4297994269340974,1.0,0.4297994269340974,0.14326647564469913,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.0,0.0,0.5730659025787965
MSFT,0.14326647564469913,0.14326647564469913,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.0,0.28653295128939826,0.28653295128939826,0.4297994269340974,1.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.0,0.14326647564469913
NVDA,0.4297994269340974,0.0,0.14326647564469913,0.0,0.0,0.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.14326647564469913,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,0.28653295128939826,0.14326647564469913,0.14326647564469913,0.28653295128939826,0.28653295128939826,0.0,0.28653295128939826,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.0,1.0,0.28653295128939826,0.14326647564469913,0.0,0.0,0.14326647564469913
XOM,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.4297994269340974,0.5730659025787965,0.0,0.28653295128939826,0.4297994269340974,0.28653295128939826,0.14326647564469913,0.0,0.28653295128939826,1.0,0.14326647564469913,0.0,0.0,0.14326647564469913
GLD,0.0,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.28653295128939826,0.28653295128939826,0.28653295128939826,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.0,0.14326647564469913,0.14326647564469913,1.0,0.0,0.0,0.0
IEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4297994269340974,0.14326647564469913
SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297994269340974,1.0,0.14326647564469913
HYG,0.14326647564469913,0.0,0.28653295128939826,0.4297994269340974,0.14326647564469913,0.0,0.14326647564469913,0.28653295128939826,0.5730659025787965,0.14326647564469913,0.0,0.14326647564469913,0.14326647564469913,0.0,0.14326647564469913,0.14326647564469913,1.0
