Date,AAPL,AMZN,CVX,ENPH,GME,JNJ,JPM,MSFT,NVDA,XOM,GLD,IEF,SHY
2008-04-16,0.035226127709415266,0.028419902937682904,0.019330593490625273,0.04847860641756028,0.014399141249587574,0.0007609363359407254,0.06525029309546099,0.024476602885871432,0.038966218538370775,0.022756528159756293,0.017412357713036033,-0.006777986708300151,-0.0021512698772104036
2008-04-17,0.005126490599925339,-0.007401003369293235,0.0006525871054132584,-0.03661263892463066,0.006684320411097797,0.0009130463589585504,0.003552558276774045,0.009283242056664372,-0.013896388596700015,0.00526134506186419,-0.007641420238254107,-0.0023424015183611644,-0.0017960259985539764
2008-04-18,0.04152369537786908,0.07867042121980566,0.012853289521171206,0.011350976112819865,-0.007037462244417494,0.011340625461081746,0.014084443109259291,0.02634373283523727,0.023404672130834952,0.006617733336564469,-0.021182086961172856,-0.001006949985635322,-0.0005994732286095612
2008-04-21,0.043263189170659785,0.000998180795000514,-0.005164499777792378,0.011967267601070999,-0.01907209461429162,-0.002860895308117421,-0.011649578175402424,0.013903228703820427,0.043720212924279855,0.0027621951480640387,-0.004091372334785813,0.00011225283479605468,-0.0009595433324787484
2008-04-22,-0.04849282986628558,-0.007259965801154564,0.014245513202918355,0.007776272705912861,-0.013041080840983637,0.010051842923885494,0.009243535795611465,-0.005604184254182948,-0.018796148205779052,0.0013782031106020164,0.00022154490937352197,0.0007816307259569363,0.00035946930896184
2008-04-23,0.016651944552467452,0.017435104124794962,0.0047740959656473216,-0.007776272705912866,0.006541747683342494,0.004022413015793391,-0.011013950656054254,0.038903045597959755,0.047078990187975484,-0.0018030642141511702,-0.011699898740300238,-0.0010052994447021161,0.0
2008-04-24,0.03646833191064905,-0.041722645930923084,-0.0222613306208598,-0.011591116976257414,0.013672020284725523,0.0016341370078019866,0.03951928850003687,0.011066906408191964,-0.02426447535749047,-0.01734328723112197,-0.02267156697176417,-0.007861934688035234,-0.0027626054305108856
2008-04-25,0.004665297404659154,0.039992763100899255,0.0031337364417028846,-0.006792298083356999,0.0037449543398231882,-0.0008913125108476335,0.017307260199293205,-0.06395168681771354,0.009975125164917394,-0.0015129997352602597,0.0005730462988536478,-0.0013539356097028137,0.00011996454288178649
2008-04-28,0.01468002513503322,0.013633952812981102,-0.002052188493790743,-0.0026541769246636714,-0.019048429637492603,0.00014867112279530868,-0.009461087333732392,-0.028563509209595127,-0.01802761094548872,-0.00010791148747945776,0.004801172923441089,0.0018042917849041696,0.0010815704382346161
2008-04-29,0.016182802826687992,-0.015119111913746038,0.02392764101124849,-0.019164947567468147,-0.008929260378300018,-0.0019331071757755884,-0.005507351482640727,-0.012146714655843759,0.02050606687577214,-0.007164927754691421,-0.021672374264867317,0.0018015022034722687,-0.00023944242647582243
2008-04-30,-0.0063035924878743045,-0.02648086450644828,0.014773287943230693,0.011543066117564775,0.007476943233222564,-0.0014890497968847848,0.012034222401017768,-0.004198764973754043,0.01717809472564704,0.013848931216140944,0.009741512403569545,0.003144447558442667,0.0019201464812133673
2008-05-01,0.03418870392871273,0.009241151303179537,-0.012664054013416708,-0.025572862351008276,0.024231628276045716,0.01067448727175851,0.033026843259986394,0.030389060215411295,0.04519195637568216,-0.03688149963293828,-0.031179315068104025,-0.00011144131864499095,-0.0017793976452245284
2008-05-02,0.005208831259351516,-0.026171140209026583,0.003994683815222665,0.012480614950205323,-0.04349311631890459,0.006614115964265635,-0.01205199489236399,-0.005457003211974209,0.046350559421838106,-0.0010034844183500922,0.007000134989940103,-0.008133605272844693,-0.001326966940580008
